1	3.950927
2	3.982538
3	3.991522
4	4.004244
5	4.021149
6	3.959605
7	3.938088
8	3.938077
9	3.894812
10	3.791324
11	3.689070
12	3.627504
13	3.497760
14	3.370615
15	3.329859
16	3.390297
17	3.490668
18	3.469052
19	3.407906
20	3.373315
21	3.257450
22	3.192490
23	3.103113
24	3.002021
25	2.752472
26	2.794892
27	2.771217
28	2.888857
29	2.780648
30	2.689252
31	2.442881
32	2.255209
33	2.236375
34	2.090461
35	1.975450
36	1.981303
37	2.125020
38	2.102525
39	1.902326
40	1.765728
41	1.749905
42	1.580790
43	1.756245
44	1.657861
45	1.658759
46	1.706880
47	1.813917
48	1.788366
49	2.001808
50	1.883697
51	1.910281
52	1.667111
53	1.669221
54	1.712024
55	1.739795
56	1.734985
57	1.682880
58	1.669432
59	1.654841
60	1.694953
61	1.493289
62	1.369469
63	1.861755
64	2.023035
65	2.261744
66	2.452593
67	2.516418
68	2.356922
69	2.077275
70	2.019490
71	2.014766
72	2.090844
73	1.798702
74	1.672863
75	1.706956
76	1.703864
77	1.631681
78	1.521504
79	1.179425
80	1.246601
81	1.998884
82	2.270623
83	2.204153
84	1.990707
85	1.904816
86	1.675191
87	2.149075
88	2.675468
89	2.445953
90	2.267944
91	2.140505
92	2.023115
93	1.863635
94	1.669276
95	1.611656
96	1.938333
97	1.949883
98	2.284378
99	2.512414
100	2.517212
