1	26.8
2	27.2
3	27.7
4	28.1
5	28.6
6	29.3
7	29.4
8	29.8
9	30.2
10	30.7
11	31.0
12	31.0
13	31.6
14	32.1
15	32.2
16	32.5
17	32.9
18	32.9
19	33.2
20	33.5
21	33.6
22	33.9
23	34.1
24	34.1
25	34.3
26	34.7
27	35.1
28	35.3
29	35.5
30	35.8
31	36.1
32	36.2
33	36.4
34	36.4
35	36.7
36	36.5555555556
37	36.6666666667
38	36.8888888889
39	36.8888888889
40	37.1111111111
41	37.2222222222
42	37.3333333333
43	37.5555555556
44	37.6666666667
45	37.8888888889
46	37.8888888889
47	37.8888888889
48	38.1111111111
49	38.2222222222
50	38.3333333333
51	38.3333333333
52	38.4444444444
53	38.4444444444
54	38.5555555556
55	38.7777777778
56	38.625
57	38.75
58	38.875
59	38.7142857143
60	38.8571428571
61	38.8333333333
62	38.6
63	39.0
64	38.75
65	38.75
66	39.0
67	38.6666666667
68	38.6666666667
69	38.6666666667
70	38.6666666667
71	38.6666666667
72	38.6666666667
73	38.6666666667
74	39.0
75	39.0
76	39.0
77	39.0
78	39.0
79	39.5
80	39.0
81	39.0
82	39.0
83	39.0
84	39.0
85	39.0
86	39.0
87	39.0
88	39.0
89	39.0
90	39.0
91	39.0
92	39.0
93	40.0
